step,epoch,batch_loss,seconds,sampled_mps_driver_gib
1,1,0.6931471824645996,3.4734035830479115,3.501922607421875
2,1,0.683169037103653,1.3636095420224592,3.501922607421875
3,1,0.691932886838913,1.391334917047061,3.501922607421875
4,1,0.6807433068752289,1.4494276669574901,3.501922607421875
5,1,0.7066864371299744,1.454714833991602,3.501922607421875
6,1,0.69324591755867,1.4677021249663085,3.501922607421875
7,1,0.7128251492977142,1.4451832080376334,3.501922607421875
8,1,0.6719548106193542,1.4393427920294926,3.501922607421875
9,1,0.7284751832485199,1.4370463750092313,3.501922607421875
10,1,0.6285769641399384,1.4438915000064299,3.501922607421875
11,1,0.6819961369037628,1.4516071249963716,3.501922607421875
12,1,0.6896775364875793,1.4527916249935515,3.501922607421875
13,1,0.7112456858158112,1.4530903330305591,3.501922607421875
14,1,0.6518328785896301,1.4962159169954248,3.501922607421875
15,1,0.648650050163269,1.352697291993536,3.501922607421875
16,1,0.6720036268234253,1.3704247919959016,3.501922607421875
17,1,0.6933375895023346,1.4589686670224182,3.501922607421875
18,1,0.6891824305057526,1.440898917033337,3.501922607421875
19,1,0.6852585971355438,1.4350499580032192,3.501922607421875
20,1,0.6776760518550873,1.4532101250370033,3.501922607421875
21,1,0.6261233687400818,1.4522498750011437,3.501922607421875
22,1,0.6403846442699432,1.4361793330172077,3.501922607421875
23,1,0.6341427266597748,1.4501683749840595,3.501922607421875
24,1,0.5956287682056427,1.5195065840380266,3.501922607421875
25,1,0.6750214397907257,1.4504990830319002,3.501922607421875
26,1,0.6232859492301941,1.4395142500288785,3.501922607421875
27,1,0.6191373467445374,1.4474233749788254,3.501922607421875
28,1,0.776686817407608,1.4399670420098118,3.501922607421875
29,1,0.7326894104480743,1.4535754169919528,3.501922607421875
30,1,0.6209417879581451,1.4309558339882642,3.501922607421875
31,1,0.6273675858974457,1.4471117909997702,3.501922607421875
32,1,0.7047348618507385,1.44019620801555,3.501922607421875
33,2,0.33683305978775024,1.4499297500005923,3.470672607421875
34,2,0.4812397062778473,1.3313899580389261,3.470672607421875
35,2,0.6087630689144135,1.3914230840164237,3.470672607421875
36,2,0.48630431294441223,1.3750513340346515,3.470672607421875
37,2,0.3743622601032257,1.3810124580049887,3.470672607421875
38,2,0.40632109344005585,1.3725743749528192,3.470672607421875
39,2,0.4651889055967331,1.3697521249996498,3.470672607421875
40,2,0.45834945142269135,1.368675165984314,3.470672607421875
41,2,0.34491218626499176,1.3559399159858003,3.470672607421875
42,2,0.515128418803215,1.3735179170034826,3.470672607421875
43,2,0.3606570065021515,1.3779207920306362,3.470672607421875
44,2,0.16703202947974205,1.3693160829716362,3.470672607421875
45,2,0.3864302337169647,1.3877870420110412,3.470672607421875
46,2,0.27715003490448,1.3766903330106288,3.470672607421875
47,2,0.41526950895786285,1.366863333969377,3.470672607421875
48,2,0.42863789200782776,1.37972962501226,3.470672607421875
49,2,0.4127384275197983,1.387918000051286,3.470672607421875
50,2,0.28092052042484283,1.3883868749835528,3.470672607421875
51,2,0.3497951328754425,1.3632822089712135,3.470672607421875
52,2,0.3110262155532837,1.369126875011716,3.470672607421875
53,2,0.38038696348667145,1.382816500030458,3.470672607421875
54,2,0.5697391033172607,1.3904431659611873,3.470672607421875
55,2,0.3571159616112709,1.389645749994088,3.470672607421875
56,2,0.34226056933403015,1.3878667499520816,3.470672607421875
57,2,0.3908648192882538,1.3768108749645762,3.470672607421875
58,2,0.31993621587753296,1.3826996250427328,3.470672607421875
59,2,0.43653418123722076,1.3696788329980336,3.470672607421875
60,2,0.4583490788936615,1.3838395419879816,3.470672607421875
61,2,0.35172465443611145,1.371288624999579,3.470672607421875
62,2,0.2925306186079979,1.3891486250213347,3.470672607421875
63,2,0.2717541605234146,1.3794944999972358,3.470672607421875
64,2,0.4317980855703354,1.3817714999895543,3.470672607421875
